directory,percent,avg_box_volume_A3
delta_C,10,14094086.767452603
delta_C,20,21022763.219552245
delta_C,30,27964680.156654503
delta_C,40,34913466.101369195
delta_C,50,41864547.1991878
delta_C,60,48813048.28225188
delta_C,70,55766128.62636795
delta_C,80,62716189.759629294
delta_C,90,69653280.2564914
delta_N,10,13558031.334818298
delta_N,20,20565090.216513406
delta_N,30,27572546.74597991
delta_N,40,34584528.19944621
delta_N,50,41596109.5374353
delta_N,60,48614085.81947637
delta_N,70,55615373.91703699
delta_N,80,62628272.16140048
delta_N,90,69643906.14313284
full_cahs12,10,14152885.092810981
full_cahs12,20,21015757.108109113
full_cahs12,30,27902796.3630865
full_cahs12,40,34791523.56236163
full_cahs12,50,41676126.02445878
full_cahs12,60,48576155.83408499
full_cahs12,70,55461305.82789998
full_cahs12,80,62348414.60351732
full_cahs12,90,69235824.01898088
